INCIDENT_NUMBER;OFFENSE_CODE;OFFENSE_CODE_GROUP;OFFENSE_CODE_GROUP_No;OFFENSE_DESCRIPTION;DISTRICT;District_simple;District_simple_No;REPORTING_AREA;OCCURRED_ON_DATE;Hour1;Start_Night;Start_Day;Night_Day;YEAR;MONTH;DAY_OF_WEEK;WE_Workday;WE_Workday_No;HOUR;Counts_per_hour;STREET;Lat;Long;Location
I182068750;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;E13;E;5;579;27.08.2018 16:52;16:52:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;16;231;ARMSTRONG ST;42.32130479;-71.10331527;(42.32130479, -71.10331527)
I182068737;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E13;E;5;307;10.06.2018 00:00;00:00:00;17:00:00;08:00:00;Night;2018;6;Sunday;Weekend;2;0;244;WESTMINSTER AVE;42.31609763;-71.09524853;(42.31609763, -71.09524853)
I182068703;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;D4;D;4;620;26.08.2018 06:30;06:30:00;17:00:00;08:00:00;Night;2018;8;Sunday;Weekend;2;6;100;BURBANK ST;42.34430114;-71.0876183;(42.34430114, -71.08761830)
I182068688;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B3;B;2;565;20.08.2018 00:00;00:00:00;17:00:00;08:00:00;Night;2018;8;Monday;Workdays;1;0;244;OSPREY WAY;42.2920332;-71.093993;(42.29203320, -71.09399300)
I182068654;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;621;27.08.2018 09:58;09:58:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;9;167;COMMONWEALTH AVE;42.3492468;-71.08956259;(42.34924680, -71.08956259)
I182068647;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D14;D;4;763;26.08.2018 09:30;09:30:00;17:00:00;08:00:00;Day;2018;8;Sunday;Weekend;2;9;167;BENNETT ST;42.35188271;-71.1564776;(42.35188271, -71.15647760)
I182068467;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C6;C;3;234;19.08.2018 00:00;00:00:00;17:00:00;08:00:00;Night;2018;8;Sunday;Weekend;2;0;244;TICKNOR ST;42.33008163;-71.03598276;(42.33008163, -71.03598276)
I182068398;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;911;19.08.2018 23:00;23:00:00;17:00:00;08:00:00;Night;2018;8;Sunday;Weekend;2;23;231;ANNUNCIATION RD;42.33506218;-71.09316781;(42.33506218, -71.09316781)
I182068361;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;319;25.08.2018 23:00;23:00:00;17:00:00;08:00:00;Night;2018;8;Saturday;Weekend;2;23;231;SONOMA ST;42.30845311;-71.08718664;(42.30845311, -71.08718664)
I182068308;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;A1;A;1;116;26.08.2018 02:00;02:00:00;17:00:00;08:00:00;Night;2018;8;Sunday;Weekend;2;2;181;OXFORD ST;42.35193461;-71.06048592;(42.35193461, -71.06048592)
I182068294;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;625;25.08.2018 23:15;23:15:00;17:00:00;08:00:00;Night;2018;8;Saturday;Weekend;2;23;231;QUEENSBERRY ST;42.34314406;-71.09589305;(42.34314406, -71.09589305)
I182068263;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E5;E;5;561;25.08.2018 21:33;21:33:00;17:00:00;08:00:00;Night;2018;8;Saturday;Weekend;2;21;303;PALFREY ST;42.28496725;-71.12009416;(42.28496725, -71.12009416)
I182067963;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;629;01.08.2018 10:00;10:00:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;10;178;PARK DR;42.34598862;-71.1047765;(42.34598862, -71.10477650)
I182067887;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;280;22.08.2018 08:30;08:30:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;8;195;DUDLEY ST;42.32872589;-71.08382217;(42.32872589, -71.08382217)
I182067834;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;350;24.08.2018 03:30;03:30:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;3;124;ORCHARDFIELD ST;42.30446755;-71.0574627;(42.30446755, -71.05746270)
I182067765;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;C11;C;3;369;24.08.2018 08:13;08:13:00;17:00:00;08:00:00;Day;2018;8;Friday;Workdays;1;8;195;HOUGHTON ST;42.29548607;-71.05227549;(42.29548607, -71.05227549)
I182067622;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;E18;E;5;543;22.08.2018 17:20;17:20:00;17:00:00;08:00:00;Night;2018;8;Wednesday;Workdays;1;17;277;VALENCIA RD;42.25679872;-71.12820604;(42.25679872, -71.12820604)
I182067610;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D14;D;4;800;29.07.2018 03:00;03:00:00;17:00:00;08:00:00;Night;2018;7;Sunday;Weekend;2;3;124;PRATT ST;42.35501072;-71.12887911;(42.35501072, -71.12887911)
I182067606;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;D4;D;4;625;23.08.2018 08:45;08:45:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;8;195;QUEENSBERRY ST;42.34314406;-71.09589305;(42.34314406, -71.09589305)
I182067490;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D14;D;4;793;20.08.2018 21:00;21:00:00;17:00:00;08:00:00;Night;2018;8;Monday;Workdays;1;21;303;COMMONWEALTH AVE;42.34888872;-71.1335453;(42.34888872, -71.13354530)
I182067416;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;A1;A;1;68;23.08.2018 06:44;06:44:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;6;100;HANCOCK ST;42.36025385;-71.06447113;(42.36025385, -71.06447113)
I182067412;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B3;B;2;467;23.08.2018 06:37;06:37:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;6;100;WELLINGTON HILL ST;42.28464725;-71.09473285;(42.28464725, -71.09473285)
I182067371;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;D4;D;4;145;23.08.2018 00:27;00:27:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;0;244;W NEWTON ST;42.34451294;-71.08049717;(42.34451294, -71.08049717)
I182067186;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;348;22.08.2018 12:41;12:41:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;12;258;ORCHARDFIELD ST;42.30390419;-71.05884547;(42.30390419, -71.05884547)
I182067078;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E18;E;5;527;22.08.2018 01:25;01:25:00;17:00:00;08:00:00;Night;2018;8;Wednesday;Workdays;1;1;171;HYDE PARK AVE;42.23504691;-71.13289238;(42.23504691, -71.13289238)
I182067052;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;A7;A;1;32;21.08.2018 14:00;14:00:00;17:00:00;08:00:00;Day;2018;8;Tuesday;Workdays;1;14;242;COTTAGE ST;42.36891445;-71.03399585;(42.36891445, -71.03399585)
I182066901;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B3;B;2;565;21.08.2018 13:24;13:24:00;17:00:00;08:00:00;Day;2018;8;Tuesday;Workdays;1;13;206;SENATOR BOLLING CIR;42.28913147;-71.09293028;(42.28913147, -71.09293028)
I182066866;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C6;C;3;915;20.08.2018 13:30;13:30:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;13;206;COLUMBIA RD;42.3303689;-71.0486577;(42.33036890, -71.04865770)
I182066736;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C11;C;3;357;20.08.2018 21:07;21:07:00;17:00:00;08:00:00;Night;2018;8;Monday;Workdays;1;21;303;GENEVA AVE;42.30080999;-71.06705066;(42.30080999, -71.06705066)
I182066664;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;A1;A;1;128;20.08.2018 15:35;15:35:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;15;241;CORTES ST;42.34827698;-71.07038932;(42.34827698, -71.07038932)
I182066647;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E13;E;5;948;20.08.2018 10:25;10:25:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;10;178;AMORY ST;42.31915678;-71.10067583;(42.31915678, -71.10067583)
I182066632;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E18;E;5;541;20.08.2018 10:00;10:00:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;10;178;RIVER ST;42.2533034;-71.12971806;(42.25330340, -71.12971806)
I182066617;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;365;19.08.2018 13:00;13:00:00;17:00:00;08:00:00;Day;2018;8;Sunday;Weekend;2;13;206;GLENROSE RD;42.29168072;-71.05847274;(42.29168072, -71.05847274)
I182066606;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;365;19.08.2018 13:00;13:00:00;17:00:00;08:00:00;Day;2018;8;Sunday;Weekend;2;13;206;GLENROSE RD;42.29168072;-71.05847274;(42.29168072, -71.05847274)
I182066525;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B3;B;2;431;20.08.2018 11:35;11:35:00;17:00:00;08:00:00;Day;2018;8;Monday;Workdays;1;11;193;ASHTON ST;42.28822834;-71.0889687;(42.28822834, -71.08896870)
I182066395;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;D4;D;4;626;19.08.2018 19:45;19:45:00;17:00:00;08:00:00;Night;2018;8;Sunday;Weekend;2;19;274;QUEENSBERRY ST;42.3420038;-71.10011169;(42.34200380, -71.10011169)
I182066326;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;626;19.08.2018 14:41;14:41:00;17:00:00;08:00:00;Day;2018;8;Sunday;Weekend;2;14;242;QUEENSBERRY ST;42.34255587;-71.09807867;(42.34255587, -71.09807867)
I182066111;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;626;18.08.2018 20:27;20:27:00;17:00:00;08:00:00;Night;2018;8;Saturday;Weekend;2;20;305;PARK DR;42.34211308;-71.10143339;(42.34211308, -71.10143339)
I182066056;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B2;B;2;324;17.08.2018 20:00;20:00:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;20;305;DANUBE ST;42.31743922;-71.07547845;(42.31743922, -71.07547845)
I182065724;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;D4;D;4;146;17.08.2018 13:40;13:40:00;17:00:00;08:00:00;Day;2018;8;Friday;Workdays;1;13;206;SAINT BOTOLPH ST;42.34561901;-71.07990847;(42.34561901, -71.07990847)
I182065538;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;236;16.08.2018 08:30;08:30:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;8;195;POND ST;42.31961996;-71.05951046;(42.31961996, -71.05951046)
I182065388;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B3;B;2;943;16.08.2018 13:36;13:36:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;13;206;WOODBOLE AVE;42.27626552;-71.08265043;(42.27626552, -71.08265043)
I182065364;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;A7;A;1;24;16.08.2018 11:25;11:25:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;11;193;TRENTON ST;42.37887838;-71.03643423;(42.37887838, -71.03643423)
I182065338;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;619;15.08.2018 23:00;23:00:00;17:00:00;08:00:00;Night;2018;8;Wednesday;Workdays;1;23;231;WESTLAND AVE;42.34376458;-71.08866865;(42.34376458, -71.08866865)
I182065298;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;D14;D;4;792;15.08.2018 11:00;11:00:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;11;193;SUMMIT AVE;42.34548055;-71.14046685;(42.34548055, -71.14046685)
I182065290;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C11;C;3;257;15.08.2018 11:00;11:00:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;11;193;EVERETT AVE;42.31526714;-71.0630687;(42.31526714, -71.06306870)
I182064935;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;135;14.08.2018 22:35;22:35:29;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;22;278;BEACON ST;42.35335717;-71.08017703;(42.35335717, -71.08017703)
I182064655;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;D4;D;4;131;14.08.2018 02:48;02:48:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;2;181;ARLINGTON ST;42.35484468;-71.07215738;(42.35484468, -71.07215738)
I182064630;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;325;10.08.2018 20:00;20:00:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;20;305;BLUE HILL AVE;42.31656425;-71.07811557;(42.31656425, -71.07811557)
I182064466;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;C11;C;3;460;10.08.2018 14:00;14:00:00;17:00:00;08:00:00;Day;2018;8;Friday;Workdays;1;14;242;MORSE ST;42.30422029;-71.07840374;(42.30422029, -71.07840374)
I182064155;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;B2;B;2;262;12.08.2018 10:09;10:09:00;17:00:00;08:00:00;Day;2018;8;Sunday;Weekend;2;10;178;W COTTAGE ST;42.32043434;-71.07722041;(42.32043434, -71.07722041)
I182064018;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;A7;A;1;24;11.08.2018 16:46;16:46:00;17:00:00;08:00:00;Day;2018;8;Saturday;Weekend;2;16;231;MARION ST;42.37878502;-71.03771768;(42.37878502, -71.03771768)
I182063886;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;145;07.08.2018 23:00;23:00:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;23;231;MASSACHUSETTS AVE;42.34243945;-71.0844553;(42.34243945, -71.08445530)
I182063857;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;D4;D;4;147;11.08.2018 08:59;08:59:00;17:00:00;08:00:00;Day;2018;8;Saturday;Weekend;2;8;195;COLUMBUS AVE;42.34087158;-71.08145768;(42.34087158, -71.08145768)
I182063850;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;147;11.08.2018 08:57;08:57:00;17:00:00;08:00:00;Day;2018;8;Saturday;Weekend;2;8;195;COLUMBUS AVE;42.34087158;-71.08145768;(42.34087158, -71.08145768)
I182063841;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E18;E;5;507;11.08.2018 07:50;07:50:00;17:00:00;08:00:00;Night;2018;8;Saturday;Weekend;2;7;152;HYDE PARK AVE;42.2893425;-71.118197;(42.28934250, -71.11819700)
I182063747;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;C11;C;3;340;10.08.2018 20:27;20:27:00;17:00:00;08:00:00;Night;2018;8;Friday;Workdays;1;20;305;HAMILTON ST;42.30500848;-71.06606441;(42.30500848, -71.06606441)
I182063621;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;A1;A;1;66;10.08.2018 14:30;14:30:00;17:00:00;08:00:00;Day;2018;8;Friday;Workdays;1;14;242;W CEDAR ST;42.36063386;-71.07005247;(42.36063386, -71.07005247)
I182063345;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;E13;E;5;579;09.08.2018 07:00;07:00:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;7;152;CHESTNUT AVE;42.32093932;-71.1029362;(42.32093932, -71.10293620)
I182063310;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D14;D;4;774;23.03.2017 12:00;12:00:00;17:00:00;08:00:00;Day;2017;3;Thursday;Workdays;1;12;258;COMMONWEALTH AVE;42.33836272;-71.15441001;(42.33836272, -71.15441001)
I182063265;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;A7;A;1;19;09.08.2018 01:00;01:00:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;1;171;SARATOGA ST;42.37864819;-71.03089238;(42.37864819, -71.03089238)
I182063246;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;315;09.08.2018 12:50;12:50:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;12;258;WAUMBECK ST;42.3140129;-71.08635277;(42.31401290, -71.08635277)
I182063231;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;145;09.08.2018 11:13;11:13:00;17:00:00;08:00:00;Day;2018;8;Thursday;Workdays;1;11;193;SAINT BOTOLPH ST;42.34401294;-71.08186196;(42.34401294, -71.08186196)
I182063225;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;365;07.08.2018 16:00;16:00:00;17:00:00;08:00:00;Day;2018;8;Tuesday;Workdays;1;16;231;GLENROSE RD;42.29168072;-71.05847274;(42.29168072, -71.05847274)
I182063164;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C6;C;3;232;12.07.2018 18:00;18:00:00;17:00:00;08:00:00;Night;2018;7;Thursday;Workdays;1;18;285;COLUMBIA RD;42.33213373;-71.02836821;(42.33213373, -71.02836821)
I182063117;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;398;09.08.2018 00:18;00:18:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;0;244;LITHGOW ST;42.2896398;-71.07046114;(42.28963980, -71.07046114)
I182062998;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;E5;E;5;550;08.08.2018 03:00;03:00:00;17:00:00;08:00:00;Night;2018;8;Wednesday;Workdays;1;3;124;BLUE LEDGE DR;42.27253606;-71.13622919;(42.27253606, -71.13622919)
I182062889;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;E5;E;5;550;08.08.2018 03:45;03:45:00;17:00:00;08:00:00;Night;2018;8;Wednesday;Workdays;1;3;124;BLUE LEDGE DR;42.27253606;-71.13622919;(42.27253606, -71.13622919)
I182062878;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;A7;A;1;26;08.08.2018 09:38;09:38:00;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;9;167;BORDER ST;42.37620267;-71.03979926;(42.37620267, -71.03979926)
I182062851;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;E5;E;5;550;08.08.2018 08:50;08:50:55;17:00:00;08:00:00;Day;2018;8;Wednesday;Workdays;1;8;195;BLUE LEDGE DR;42.27253606;-71.13622919;(42.27253606, -71.13622919)
I182062782;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;B2;B;2;304;07.08.2018 18:10;18:10:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;18;285;WASHINGTON ST;42.31795048;-71.09617099;(42.31795048, -71.09617099)
I182062781;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;D4;D;4;624;07.08.2018 09:45;09:45:00;17:00:00;08:00:00;Day;2018;8;Tuesday;Workdays;1;9;167;BOYLSTON ST;42.34601613;-71.0938121;(42.34601613, -71.09381210)
I182062651;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;D14;D;4;799;02.08.2018 18:00;18:00:00;17:00:00;08:00:00;Night;2018;8;Thursday;Workdays;1;18;285;ASHFORD CT;42.35437654;-71.12611162;(42.35437654, -71.12611162)
I182062521;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;C11;C;3;398;07.08.2018 05:04;05:04:00;17:00:00;08:00:00;Night;2018;8;Tuesday;Workdays;1;5;86;LITHGOW ST;42.2896398;-71.07046114;(42.28963980, -71.07046114)
I182062498;521;Residential Burglary;1;BURGLARY - RESIDENTIAL - ATTEMPT;D4;D;4;905;06.08.2018 23:31;23:31:00;17:00:00;08:00:00;Night;2018;8;Monday;Workdays;1;23;231;MONSIGNOR REYNOLDS WAY;42.34055884;-71.07022771;(42.34055884, -71.07022771)
I182062405;520;Residential Burglary;1;BURGLARY - RESIDENTIAL - FORCE;C11;C;3;246;06.08.2018 17:06;17:06:00;17:00:00;08:00:00;Night;2018;8;Monday;Workdays;1;17;277;SUDAN ST;42.3166828;-71.05541001;(42.31668280, -71.05541001)
I182062388;522;Residential Burglary;1;BURGLARY - RESIDENTIAL - NO FORCE;A1;A;1;70;06.08.2018 00:00;00:00:00;17:00:00;08:00:00;Night;2018;8;Monday;Workdays;1;0;244;PINCKNEY ST;42.35883898;-71.06608613;(42.35883898, -71.06608613)
